cntry,essround,hinctnta,gndr,gndr2,agea,eisced,domicil,edulvlb,pdwrk,hhmmb,health,happy,dscrrce,dscrgrp,mnactic
BE,10,9.0,1,2,48.0,7.0,4,720.0,1,5.0,2,9.0,0,2,1.0
BE,10,6.0,1,2,60.0,2.0,5,222.0,1,2.0,2,8.0,0,2,1.0
BE,10,3.0,2,1,67.0,5.0,4,423.0,1,2.0,1,8.0,0,2,6.0
BE,10,2.0,2,6,57.0,3.0,4,321.0,0,1.0,4,7.0,0,2,5.0
BE,10,5.0,2,2,23.0,4.0,1,313.0,1,3.0,1,8.0,0,2,1.0
BE,10,2.0,1,2,49.0,4.0,2,313.0,0,5.0,3,6.0,0,2,3.0
BE,10,8.0,2,1,45.0,6.0,3,610.0,1,4.0,2,8.0,0,2,1.0
BE,10,6.0,2,1,55.0,6.0,2,610.0,1,2.0,1,9.0,0,2,1.0
BE,10,3.0,1,6,37.0,7.0,4,720.0,1,1.0,2,8.0,1,1,1.0
BE,10,4.0,2,1,35.0,4.0,1,313.0,0,3.0,2,5.0,0,1,3.0
BE,10,8.0,1,2,59.0,6.0,4,610.0,1,4.0,2,8.0,0,1,1.0
BE,10,3.0,2,6,73.0,6.0,3,610.0,0,1.0,2,9.0,0,2,6.0
BE,10,9.0,1,2,59.0,7.0,4,720.0,1,3.0,2,9.0,0,2,1.0
BE,10,8.0,2,1,68.0,4.0,3,313.0,0,2.0,2,10.0,0,2,6.0
BE,10,9.0,2,6,83.0,5.0,1,421.0,0,1.0,2,5.0,0,2,6.0
BE,10,4.0,1,6,32.0,4.0,3,323.0,1,1.0,2,8.0,0,2,1.0
BE,10,5.0,2,1,70.0,1.0,1,113.0,0,2.0,2,10.0,0,1,6.0
BE,10,7.0,1,2,42.0,5.0,4,421.0,1,4.0,1,5.0,0,2,1.0
BE,10,4.0,2,6,30.0,7.0,1,710.0,1,1.0,1,9.0,0,2,1.0
BE,10,9.0,1,2,34.0,6.0,1,610.0,1,2.0,1,10.0,0,2,1.0
BE,10,9.0,1,2,41.0,5.0,4,423.0,1,4.0,1,9.0,0,2,1.0
BE,10,10.0,1,1,22.0,4.0,4,323.0,0,4.0,1,6.0,0,1,5.0
BE,10,5.0,1,2,78.0,6.0,3,610.0,0,3.0,2,8.0,0,2,8.0
BE,10,5.0,1,6,58.0,4.0,2,323.0,1,1.0,2,8.0,0,2,1.0
BE,10,8.0,1,2,76.0,,1,,0,2.0,3,5.0,0,2,6.0
BE,10,8.0,1,2,64.0,6.0,4,610.0,0,2.0,2,8.0,0,2,6.0
BE,10,8.0,1,2,37.0,7.0,4,720.0,1,4.0,2,10.0,0,2,1.0
BE,10,6.0,2,6,82.0,5.0,2,421.0,0,1.0,3,5.0,0,2,6.0
BE,10,7.0,2,1,52.0,6.0,4,610.0,1,3.0,2,6.0,0,2,1.0
BE,10,4.0,2,2,17.0,2.0,2,222.0,0,2.0,3,7.0,0,2,2.0
BE,10,9.0,2,1,28.0,7.0,1,720.0,1,2.0,1,8.0,0,2,8.0
BE,10,8.0,2,1,59.0,4.0,5,313.0,1,2.0,2,5.0,0,2,1.0
BE,10,5.0,1,1,53.0,4.0,4,313.0,1,3.0,2,7.0,0,2,1.0
BE,10,8.0,2,1,43.0,4.0,4,323.0,1,4.0,1,8.0,0,2,1.0
BE,10,1.0,2,1,61.0,4.0,4,313.0,0,2.0,2,7.0,0,2,8.0
BE,10,8.0,1,2,38.0,4.0,4,323.0,0,4.0,1,8.0,0,2,9.0
BE,10,7.0,1,2,63.0,7.0,2,720.0,1,2.0,2,8.0,0,2,1.0
BE,10,6.0,1,2,73.0,7.0,3,720.0,0,2.0,2,7.0,0,2,6.0
BE,10,1.0,2,2,73.0,2.0,4,213.0,0,2.0,3,8.0,0,2,6.0
BE,10,7.0,1,2,74.0,1.0,4,113.0,0,2.0,3,7.0,0,2,6.0
BE,10,5.0,2,2,56.0,5.0,4,423.0,1,2.0,2,3.0,0,2,1.0
BE,10,9.0,1,1,20.0,4.0,5,313.0,0,4.0,1,9.0,0,2,2.0
BE,10,3.0,1,2,57.0,2.0,3,222.0,0,2.0,4,3.0,1,1,5.0
BE,10,1.0,1,2,73.0,2.0,4,222.0,0,2.0,3,8.0,0,2,6.0
BE,10,6.0,1,2,61.0,2.0,2,213.0,0,2.0,1,10.0,0,2,6.0
BE,10,3.0,2,1,87.0,2.0,4,222.0,0,2.0,2,8.0,0,2,6.0
BE,10,3.0,2,1,28.0,7.0,4,720.0,1,2.0,2,7.0,0,2,1.0
BE,10,7.0,1,2,67.0,7.0,4,720.0,0,2.0,2,8.0,0,2,6.0
BE,10,9.0,1,2,35.0,7.0,4,710.0,1,3.0,1,8.0,0,2,1.0
BE,10,3.0,1,6,65.0,2.0,4,213.0,0,1.0,2,10.0,0,2,6.0
BE,10,10.0,1,2,57.0,7.0,5,720.0,1,5.0,3,8.0,0,2,1.0
BE,10,7.0,2,1,29.0,6.0,4,610.0,1,2.0,1,8.0,0,2,8.0
BE,10,8.0,1,2,38.0,7.0,3,720.0,1,4.0,2,8.0,0,2,1.0
BE,10,5.0,2,1,78.0,4.0,1,323.0,0,2.0,2,10.0,0,2,6.0
BE,10,4.0,1,2,33.0,6.0,1,610.0,1,3.0,1,7.0,1,1,1.0
BE,10,9.0,2,1,59.0,7.0,5,720.0,1,2.0,1,9.0,0,2,1.0
BE,10,7.0,1,2,63.0,2.0,3,222.0,0,2.0,2,8.0,0,2,6.0
BE,10,7.0,1,2,34.0,6.0,4,610.0,1,2.0,3,7.0,0,2,1.0
BE,10,10.0,2,1,51.0,6.0,4,610.0,1,3.0,1,9.0,0,2,1.0
BE,10,5.0,2,1,74.0,6.0,4,610.0,0,2.0,1,9.0,0,2,6.0
BE,10,3.0,2,1,29.0,2.0,4,213.0,0,4.0,1,8.0,0,2,8.0
BE,10,10.0,2,1,56.0,6.0,4,610.0,1,4.0,2,8.0,0,2,1.0
BE,10,7.0,1,2,61.0,7.0,4,720.0,1,2.0,1,10.0,0,2,1.0
BE,10,6.0,2,2,20.0,5.0,1,413.0,0,3.0,2,8.0,0,2,2.0
BE,10,7.0,2,1,43.0,7.0,4,720.0,1,4.0,2,8.0,0,2,1.0
BE,10,7.0,2,1,32.0,5.0,4,421.0,0,6.0,2,9.0,0,2,4.0
BE,10,8.0,2,1,23.0,6.0,4,620.0,1,3.0,3,10.0,0,2,1.0
BE,10,7.0,2,1,26.0,7.0,3,720.0,1,6.0,2,7.0,0,1,1.0
BE,10,4.0,2,1,76.0,6.0,3,610.0,0,2.0,2,8.0,0,2,8.0
